name,longitude,latitude,transport_modes
"Agiez, Vers-le-Pont",6.51134773508,46.71919129432,BUS
"Agno, Aeroporto",8.90721368298,46.00080338529,BUS
"Agno, Chiesa",8.89744871799,45.99819528374,BUS
"Agno, Scuola Media",8.90809278184,46.00805252634,BUS
"Agno, Stazione",8.90123332559,45.99634675924,BUS
"Agra, Bivio",8.91494825467,45.96978836576,BUS
"Agra, Paese",8.91235697802,45.96747412367,BUS
"Agra, Roncone",8.91043266327,45.96356762641,BUS
"Agra, Rondelli",8.91412660971,45.96754989116,BUS
"Agriswil, Dorf",7.19375201941,46.95317561163,BUS
"Aigle, Artisans",6.9393686898,46.31475167092,BUS
"Aigle, Biole",6.94524189029,46.30991075599,BUS
"Aigle, Champex",6.94348537292,46.31177419397,BUS
"Aigle, Charmettes",6.96388121936,46.31012560279,BUS
"Aigle, Collège Grande Eau",6.97092166291,46.31862901485,BUS
"Aigle, Dents-du-Midi",6.95890342111,46.31372986655,BUS
"Aigle, Essertons",6.95511945076,46.29986020606,BUS
"Aigle, Fontaine",6.96992282594,46.32002821575,BUS
"Aigle, Golf",6.94908676494,46.31539693638,BUS
"Aigle, Grand-Pré",6.93759683698,46.31683085082,BUS
"Aigle, La Chapelle",6.96736284367,46.31281193683,BUS
"Aigle, La Mêlée",6.93809078018,46.3181734164,BUS
"Aigle, Les Glariers",6.96772310379,46.320657765,BUS
"Aigle, Les Iles",6.94869707308,46.29961661731,BUS
"Aigle, Levant",6.95966940255,46.31666574612,BUS
"Aigle, Marais",6.9419266128,46.30337426436,BUS
"Aigle, Molage",6.96545388157,46.31883113047,BUS
"Aigle, Novassales",6.96273883924,46.31456471306,BUS
"Aigle, Orlons",6.93804295347,46.31069768912,BUS
"Aigle, Pautex",6.95434410247,46.31692190322,BUS
"Aigle, Pré Neyroud",6.94480944929,46.30180364963,BUS
"Aigle, Pré d'Emoz B",6.95447319123,46.32136637967,BUS
"Aigle, Pré d'Emoz/écoles",6.95648300702,46.3216718392,BUS
"Aigle, Service Auto",6.94082110347,46.31492900311,BUS
"Aigle, Valerette",6.9674335331,46.31065324344,BUS
"Aigle, Vergers",6.96360520871,46.31199556572,BUS
"Aigle, av. Margencel",6.96495336133,46.31816334378,BUS
"Aigle, ch. des Lieugex",6.9601576596,46.32018517037,BUS
"Aigle, collège Planchette",6.95665808546,46.31950460015,BUS
"Aigle, gare",6.96460738233,46.31615583128,BUS
"Aigle, imagerie médicale",6.94410441694,46.30937502774,BUS
"Aigle, médiathèque",6.9648254305,46.31943121319,BUS
"Aigle, passerelle Illarsaz",6.93510334724,46.31271767197,BUS
"Aigle, piscine",6.96262293831,46.32185081399,BUS
"Aigle, place du Marché",6.97021840494,46.31737568585,BUS
"Aigle, rte d'Evian",6.95882483162,46.31820943695,BUS
"Aigle-Dépôt, gare",6.97554858858,46.31806335873,BUS
"Aire-la-Ville, Pont-de-Peney",6.04395033752,46.19334666875,BUS
"Aire-la-Ville, Treulaz",6.04538883171,46.18587867659,BUS
"Aire-la-Ville, centre",6.04375979938,46.18979923716,BUS
"Aire-la-Ville, croisée",6.04590870923,46.1883412827,BUS
"Airolo, Biv. per Madrano",8.62956123437,46.52441244061,BUS
"Airolo, Bivio per Nante",8.60503336968,46.52451382994,BUS
"Airolo, Buco dei Cavalli",8.61305788029,46.52851566723,BUS
"Airolo, Centro Sportivo",8.61873161092,46.52329284999,BUS
"Airolo, Cioss di fuori",8.58924709992,46.52380204974,BUS
"Airolo, Funivia",8.60077855102,46.52485429683,BUS
"Airolo, Galleria Banchi",8.56849735123,46.53629945215,BUS
"Airolo, Parcheggio Funivia",8.60188552014,46.52420421621,BUS
"Airolo, Pian Secco Belvédère",8.57461940881,46.53542876226,BUS
"Airolo, Stazione",8.60820373857,46.52767504802,BUS
Alabardia,8.81517268129,46.13792790864,BUS
"Alberswil, Burgrain",8.00447182185,47.14172863221,BUS
"Alberswil, Dorf",8.00203051087,47.1502769048,BUS
"Alberswil, Unterdorf",8.00104679883,47.15579566734,BUS
"Albeuve, gare",7.05590114461,46.51851928115,BUS
"Albinen, Dorben",7.62620565083,46.35091242334,BUS
"Albinen, Dorf",7.63511776128,46.34018355833,BUS
"Albinen, Rhodania",7.6361977023,46.33712316551,BUS
"Albinen, Schreinerei",7.63304719896,46.34231009027,BUS
"Albinen, Schwelli",7.63270072489,46.34349810804,BUS
"Albinen, Tschingeren",7.62811610032,46.33116254584,BUS
"Albinen, Tschäss",7.6388060522,46.33477864066,BUS
"Albinenleitern, Abzw. Flaschen",7.62105248784,46.35606631252,BUS
"Albinenleitern, Flaschen",7.62293942454,46.36082197176,BUS
"Albligen, Dorf",7.31848966647,46.85196298316,BUS
"Albligen, Kurried",7.31623501081,46.85742073219,BUS
"Albonago, Funicolare",8.97474513418,46.00857523005,BUS
"Albonago, Gradinata",8.97228922332,46.00894161457,BUS
"Albonago, Paese",8.97469341174,46.01132907877,BUS
"Albonago, Roccolo",8.97632713822,46.00743797678,BUS
"Albonago, Sentiero Castagni",8.97471512042,46.01302025637,BUS
"Albonago, Sentiero di Camà",8.97211655196,46.01291172964,BUS
"Albonago, Via Max Frisch",8.97161082435,46.01329649986,BUS
"Albonago, Via Ruscello",8.97146930061,46.01101313978,BUS
"Albonago, ai Ronchi",8.97322855541,46.01480398237,BUS
"Albonago, al Bosco",8.97404156116,46.01432504227,BUS
"Albulapass, Hospiz",9.83819089989,46.58262272257,BUS
"Alchenflüh, Bernstrasse Ost",7.57422414637,47.0770426527,BUS
"Alchenstorf, Dorf",7.63778869874,47.12525326212,BUS
"Alchenstorf, Oberalchenstorf",7.64408374554,47.12408188747,BUS
"Alchenstorf, Unteralchenstorf",7.62677411636,47.12610826278,BUS
